순번	영상ID	제목	길이	상태
93	zw7srGb6h_M	3기 신도시는 과연 집값을 잡을 수 있을까요? (분전아카데미 김건우 대표 / 행복자산관리연구소 김현우 소장)	76분	
94	kHj2FwX7XGc	서울 재개발 대혼란 벌어진 이유 (투미부동산컨설팅 김제경 소장)	67분	
95	qvfqjhy5sHY	아파트 옥상에 군대가 들어옵니다 (언더스탠딩 장순원 기자)	24분	
96	9AYlqb7xk58	오세훈 시장이 강북 재건축 미는 이유 (언더스탠딩 장순원 기자)	26분	
97	idXTdtL_oaU	리모델링판 둔촌주공 사태, 이촌동 현대아파트에 무슨 일이? (언더스탠딩 장순원 기자)	34분	
98	gQbGfgmQDHo	전세대출은 세입자가 빌린 걸까 집주인이 빌린 걸까? (언더스탠딩 김상훈 기자)	35분	
99	3OcxQsWf8BQ	일산 용적률 미스터리 왜 하필 300%일까? (언더스탠딩 장순원 기자)	35분	
100	xuhOPp3p-Bs	스마트폰이 아파트 재건축을 바꿀겁니다 (언더스탠딩 장순원 기자)	25분	
101	LEc259gjSrg	금리 내려도 집값 안 오를 겁니다 (분전아카데미 김건우 대표)	71분	
102	Hapezd_E-CU	한남 재개발 조합원은 왜? 현대건설 정문을 들이받았나 (언더스탠딩 장순원 기자)	32분	
103	I4_91HTGxA4	레지던스 시한폭탄이 곧 터집니다 (언더스탠딩 장순원 기자)	37분	
104	Gd9xpgeisTM	끝나지 않은 둔촌주공 이번엔 전세대출 혼란 (언더스탠딩 백종훈 기자)	28분	
105	YDbfCXUfK2I	LH는 왜 갑자기 빌라왕이 되겠다는 걸까 (언더스탠딩 장순원 기자)	22분	
106	FDpsyLmSMaE	토지거래허가제 미스터리 50억 반포는 왜 빠졌나 (언더스탠딩 장순원 기자)	32분	
107	JDAfPsGlejk	전세대출 못 받는다고? 은행 대출 창구 대혼란 (언더스탠딩 김상훈 기자)	35분	
108	PGIdiVOzh3I	지방 건설사 난리났습니다. 뜨거워진 민참공사 논란 (언더스탠딩 장순원 기자)	33분	
109	6QUj6PtcG_E	청약통장 이런 분들은 미련 없이 버리세요 (행복자산관리연구소 김현우 소장)	68분	
110	mhtD0O1_YY8	너무 쾌적한 3기 신도시가 집값 폭등 주범입니다 (건국대학교 부동산대학원 박합수 겸임교수)	69분	
