날짜,제목,발표자,소속,원제목,링크
2026-08-05,We Vetted 2000 AI Skills Before They Reached Developers,Lucas Palma,Nubank,"We Vetted 2000 AI Skills Before They Reached Developers — Lucas Palma, Nubank",https://youtu.be/iKQ78wyJEXU
2026-08-05,How Kepler Built Verifiable AI for Financial Services,Vinoo Ganesh,,How Kepler Built Verifiable AI for Financial Services — Vinoo Ganesh,https://youtu.be/Tt2kX2sgQio
2026-08-05,Persona Engineering: A Field Guide to AI Synthetic Personas,Ishan Anand,InsightSciences.ai,"Persona Engineering: A Field Guide to AI Synthetic Personas — Ishan Anand, InsightSciences.ai",https://youtu.be/YnNF55QV0zs
2026-08-05,Why Off-the-Shelf AI Doesn't Understand Money,Udi Menkes,Intuit,"Why Off-the-Shelf AI Doesn't Understand Money — Udi Menkes, Intuit",https://youtu.be/Owb8g3yDyzo
2026-08-05,SimulationMaxxing: How we ship agents 20× faster,Aman Gupta (Nubank) + Shreya Rajpal,Snowglobe,SimulationMaxxing: How we ship agents 20× faster — Aman Gupta (Nubank) + Shreya Rajpal (Snowglobe),https://youtu.be/KMR_RBoCa4M
2026-08-05,Skills are new features: Building Skill-Centric Harness,Yogendra Miraje,FactSet,"Skills are new features: Building Skill-Centric Harness — Yogendra Miraje, FactSet",https://youtu.be/7jjudsEhBtM
2026-08-05,Morgan Stanley's ALPHALAB: Multi-Agent Research Across Optimization Domains,Brendan Rappazzo,,Morgan Stanley's ALPHALAB: Multi-Agent Research Across Optimization Domains — Brendan Rappazzo,https://youtu.be/kiqubc5b5Yo
2026-08-05,Your Agent Didn't Fail. Your Harness Did.,Vinoth Govindarajan,OpenAI,"Your Agent Didn't Fail. Your Harness Did. — Vinoth Govindarajan, OpenAI",https://youtu.be/BInpv7lGp1o
2026-08-05,How Forward Deployed Engineering is done at Factory,Eno Reyes,,How Forward Deployed Engineering is done at Factory — Eno Reyes,https://youtu.be/wpOA-UXynoM
2026-08-05,AI tools for Forward Deployed Engineering,Vasuman Moza,Varick Agents,"AI tools for Forward Deployed Engineering — Vasuman Moza, Varick Agents",https://youtu.be/l0FLhNqBOic
